agency,county,portal_id,title,awarded_date,total_bidders,winner,winner_amount,all_bidders_amounts,mcwil_involved,mcwil_bid,bid_detail_url
Burbank,Los Angeles,14210,PA 2001 - RESURFACE VARIOUS GYM FLOORS,,5,Geary Floors Inc,12180.58,"Geary Floors Inc=12180.58; The Fitness Standard=13650.99; Pacific Floor Company, Inc=18900.9; J L E FLOORING=45572.78; Floor Covering Unlimited, Inc.=DATA-ERROR",no,,https://vendors.planetbids.com/portal/14210/bo/bo-detail/14709
Burbank,Los Angeles,14210,PA 2238 - OUTDOOR SPORT COURT RESURFACING,,0,,,,no,,https://vendors.planetbids.com/portal/14210/bo/bo-detail/82271
Burbank,Los Angeles,14210,WEDGEWOOD FLOOR JOINT REPLACEMENT,,3,"Pacific Waterproofing & Restoration, Inc",94210,"Pacific Waterproofing & Restoration, Inc=94210; Olympos Painting Inc.=246000; Howard Ridley Co., Inc.=265776",no,,https://vendors.planetbids.com/portal/14210/bo/bo-detail/19738
City of Santa Ana,Orange,20137,Angels Cool Pavement Basketball Court and ADA Improvements,,10,"Siterep Construction Services, Inc.",172778,"Siterep Construction Services, Inc.=172778; RCCI=188125; ACC & Engineering LLC=214260; A's Construction=222000; Ace Capital Engineering=237438.23; OrangeBlue General Contractors=283900; SAVI Construction Inc=298296; Vido Samarzich, Inc.=328700; Veteran Builders Corps=364158; Asphalt, Fabric and Engineering, Inc.=378850",no,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/134451
City of Santa Ana,Orange,20137,Bristol-Tolliver Basketball Court Lighting,,3,,,"A.C.M Lighting Services Inc.=; Lighting Technology Services, Inc.=; Koba Construction=",no,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/136655
City of Santa Ana,Orange,20137,Gymnasium Floor Waterproofing,,0,,,,no,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/66776
City of Santa Ana,Orange,20137,Lillie King Park Basketball Court Construction,,0,,,,no,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/136425
City of Santa Ana,Orange,20137,Outdoor Basketball Court Renovation,,0,,,,no,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/34466
City of Santa Ana,Orange,20137,Rubberized Resurfacing at Sandpointe Playground,,0,,,,no,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/132826
Long Beach Unified School District,Los Angeles,23758,"Bleacher Repair Service, As-Needed, District-Wide",,0,,,,no,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/62050
Long Beach Unified School District,Los Angeles,23758,LBUSD FAC03-2021 Wilson High School Bleachers Replacement,,0,,,,no,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/75794
Long Beach Unified School District,Los Angeles,23758,LBUSD FAC11-2122 Lakewood HS Bleacher Painting,,10,TONY PAINTING,59400,"TONY PAINTING=59400; ALLINONE CONSTRUCTION INC.=63000; Innovation Painting Inc=69999; US National Corp=72320; A.J. Fistes Corporation=93794; Astro Painting Company, Inc.=98000; Omega Construction Co Inc=114000; Southwest Painting, Inc=125500; Corner Keystone Construction Corporation=177200; CTG CONSTRUCTION,INC=220000",no,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/88035
Long Beach Unified School District,Los Angeles,23758,LBUSD FAC12-2122 Lakewood HS Bleacher Abatement,,7,Delta 4 Environmental Inc.,59000,"Delta 4 Environmental Inc.=59000; Quality Environmental Inc.=74000; Resource Environmental Services, LLC=100000; ASBESTOS CONTROL TESTING INC.=149500; Karcher Environmental=230000; INTEGRATED DEMOLITION AND REMEDIATION INC=230000; T3 Contractors Corp=275000",no,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/87579
Long Beach Unified School District,Los Angeles,23758,LBUSD FAC24-2021 Millikan HS Bleachers Painting Project,,0,,,,no,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/82185
Long Beach Unified School District,Los Angeles,23758,LBUSD FAC28-2223 Polytechnic HS Baseball Backstop Replacement,,2,West Coast Netting,280300,West Coast Netting=280300; Quality Fence Co Inc=296721,no,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/105116
Long Beach Unified School District,Los Angeles,23758,LBUSD Poly HS Site Improvements (Bleachers & Field Lighting),,0,,,,no,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/55513
Long Beach Unified School District,Los Angeles,23758,Poly HS Site Improvements (Bleachers & Field Lighting,,0,,,,no,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/53290
