agency,county,out_of_footprint,title,awarded_at,winner,winner_amount,total_bidders,all_bids,url
Long Beach Unified School District,Los Angeles,,LBUSD FAC28-2223 Polytechnic HS Baseball Backstop Replacement,,West Coast Netting,280300.0,2,West Coast Netting=$280300.0; Quality Fence Co Inc=$296721.0,https://vendors.planetbids.com/portal/23758/bo/bo-detail/105116
Long Beach Unified School District,Los Angeles,,LBUSD FAC11-2122 Lakewood HS Bleacher Painting,,TONY PAINTING,59400.0,10,"TONY PAINTING=$59400.0; ALLINONE CONSTRUCTION INC.=$63000.0; Innovation Painting Inc=$69999.0; US National Corp=$72320.0; A.J. Fistes Corporation=$93794.0; Astro Painting Company, Inc.=$98000.0; Omega Construction Co Inc=$114000.0; Southwest Painting, Inc=$125500.0; Corner Keystone Construction Corporation=$177200.0; CTG CONSTRUCTION,INC=$220000.0",https://vendors.planetbids.com/portal/23758/bo/bo-detail/88035
Long Beach Unified School District,Los Angeles,,LBUSD FAC12-2122 Lakewood HS Bleacher Abatement,,Delta 4 Environmental Inc.,59000.0,7,"Delta 4 Environmental Inc.=$59000.0; Quality Environmental Inc.=$74000.0; Resource Environmental Services, LLC=$100000.0; ASBESTOS CONTROL TESTING INC.=$149500.0; Karcher Environmental=$230000.0; INTEGRATED DEMOLITION AND REMEDIATION INC=$230000.0; T3 Contractors Corp=$275000.0",https://vendors.planetbids.com/portal/23758/bo/bo-detail/87579
Long Beach Unified School District,Los Angeles,,LBUSD FAC24-2021 Millikan HS Bleachers Painting Project,,,,0,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/82185
Long Beach Unified School District,Los Angeles,,LBUSD FAC03-2021 Wilson High School Bleachers Replacement,,,,0,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/75794
Long Beach Unified School District,Los Angeles,,"Bleacher Repair Service, As-Needed, District-Wide",,,,0,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/62050
Long Beach Unified School District,Los Angeles,,LBUSD Poly HS Site Improvements (Bleachers & Field Lighting),,,,0,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/55513
Long Beach Unified School District,Los Angeles,,Poly HS Site Improvements (Bleachers & Field Lighting,,,,0,,https://vendors.planetbids.com/portal/23758/bo/bo-detail/53290
Burbank,Los Angeles,,PA 2238 - OUTDOOR SPORT COURT RESURFACING,,,,0,,https://vendors.planetbids.com/portal/14210/bo/bo-detail/82271
Burbank,Los Angeles,,WEDGEWOOD FLOOR JOINT REPLACEMENT,,"Pacific Waterproofing & Restoration, Inc",94210.0,3,"Pacific Waterproofing & Restoration, Inc=$94210.0; Olympos Painting Inc.=$246000.0; Howard Ridley Co., Inc.=$265776.0",https://vendors.planetbids.com/portal/14210/bo/bo-detail/19738
Burbank,Los Angeles,,PA 2001 - RESURFACE VARIOUS GYM FLOORS,,Geary Floors Inc,12180.58,5,"Geary Floors Inc=$12180.58; The Fitness Standard=$13650.99; Pacific Floor Company, Inc=$18900.9; J L E FLOORING=$45572.78; Floor Covering Unlimited, Inc.=$899640006.0",https://vendors.planetbids.com/portal/14210/bo/bo-detail/14709
City of Santa Ana,Orange,,Lillie King Park Basketball Court Construction,,,,0,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/136425
City of Santa Ana,Orange,,Bristol-Tolliver Basketball Court Lighting,,,,3,"A.C.M Lighting Services Inc.=$None; Lighting Technology Services, Inc.=$None; Koba Construction=$None",https://vendors.planetbids.com/portal/20137/bo/bo-detail/136655
City of Santa Ana,Orange,,Angels Cool Pavement Basketball Court and ADA Improvements,,"Siterep Construction Services, Inc.",172778.0,10,"Siterep Construction Services, Inc.=$172778.0; RCCI=$188125.0; ACC & Engineering LLC=$214260.0; A's Construction=$222000.0; Ace Capital Engineering=$237438.23; OrangeBlue General Contractors=$283900.0; SAVI Construction Inc=$298296.0; Vido Samarzich, Inc.=$328700.0; Veteran Builders Corps=$364158.0; Asphalt, Fabric and Engineering, Inc.=$378850.0",https://vendors.planetbids.com/portal/20137/bo/bo-detail/134451
City of Santa Ana,Orange,,Rubberized Resurfacing at Sandpointe Playground,,,,0,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/132826
City of Santa Ana,Orange,,Gymnasium Floor Waterproofing,,,,0,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/66776
City of Santa Ana,Orange,,Outdoor Basketball Court Renovation,,,,0,,https://vendors.planetbids.com/portal/20137/bo/bo-detail/34466
